originals	tokenized	transliterated	transliterated_common
nagòle	n a g ò l e	n a j O l e	najOle
giuhut	gi u h u t	c u h u t	cuhut
hela	h e l a	h e l a	hela
ibua boli	i b u a # b o l i	i b u a # b o l i	ibua boli
rarang	r a r a n g	r a r a n j	raranj
mocoli	m o c o l i	m o k o l i	mokoli
omo	o m o	o m o	omo
bagas	b a g a s	b a j a s	bajas
èuba	è u b a	E u b a	Euba
cacario	c a c a r i o	k a k a r i o	kakario
lo sochi	l o # s o ch i	l o # s o k i	lo soki
rowa	r o w a	r o w a	rowa
ibu	i b u	i b u	ibu
fanáo	f a n á o	f a n a o	fanao
lulu	l u l u	l u l u	lulu
bahoari	b a h o a r i	b a h o a r i	bahoari
raga²	r a g a ²	r a j a ²	raja²
ampang	a m p a n g	a m p a n j	ampanj
si gurup	s i # g u r u p	s i # j u r u p	si jurup
eorae	e o r ae	e o r a:e	eora:e
eunèche	e u n è ch e	e u n E k e	eunEke
		⁇	⁇
margowar	m a r g o w a r	m a r j o w a r	marjowar
ahadi	a h a d i	a h a d i	ahadi
fagaoni	f a g ao n i	f a j a:o n i	faja:oni
mamigio	m a m i gi o	m a m i c o	mamico
ahadi	a h a d i	a h a d i	ahadi
fanòfu	f a n ò f u	f a n O f u	fanOfu
manuccun	m a n u cc u n	m a n u k u n	manukun
manunuhi	m a n u n u h i	m a n u n u h i	manunuhi
abòto horo	a b ò t o # h o r o	a b O t o # h o r o	abOto horo
pitung	p i t u n g	p i t u n j	pitunj
machene	m a ch e n e	m a k e n e	makene
		⁇	⁇
imbulu ni mata	i m b u l u # n i # m a t a	i m b u l u # n i # m a t a	imbulu ni mata
epruru baca	e p r u r u # b a c a	e p r u r u # b a k a	epruru baka
		⁇	⁇
dalu	d a l u	d a l u	dalu
ecòio	e c òi o	e k o:i o	eko:io
ohi	o h i	o h i	ohi
negiur	n e gi u r	n e c u r	necur
carahapò	c a r a h a p ò	k a r a h a p O	karahapO
bánio	b á n i o	b a n i o	banio
migior	m i gi o r	m i c o r	micor
epò	e p ò	e p O	epO
huapò	h u a p ò	h u a p O	huapO
buáia	b u á i a	b u a i a	buaia
buwaia	b u w ai a	b u w a:i a	buwa:ia
cohoóca	c o h o ó c a	k o h o o k a	kohooka
io	i o	i o	io
ihur	i h u r	i x u r	ixur
iidia	i i d i a	i i d i a	iidia
fonu	f o n u	f o n u	fonu
giechel	gi e ch e l	c e k e l	cekel
pusu	p u s u	p u s u	pusu
pahuna chideidia	p a h u n a # ch i d ei d i a	p a h u n a # k i d e:i d i a	pahuna kide:idia
baghi	b a g h i	b a j h i	bajhi
ruccung	r u cc u n g	r u k u n j	rukunj
eiú	ei ú	e:i u	e:iu
ehanua	e h a n u a	e h a n u a	ehanua
ballatu	b a l l a t u	b a l l a t u	ballatu
raut	r au t	r a:u t	ra:ut
rahi	r a h i	r a h i	rahi
epèiti	e p è i t i	e p E i t i	epEiti
eao	e ao	e a:o	ea:o
eachiebara	e a ch i e b a r a	e a k i e b a r a	eakiebara
oroisa	o r o i s a	o r o i s a	oroisa
mandoccon	m a n d o cc o n	m a n d o k o n	mandokon
chihíua comaná	ch i h í u a # c o m a n á	k i x i u a # k o m a n a	kixiua komana
falelé	f a l e l é	f a l e l e	falele
gora	g o r a	j o r a	jora
bapuru chia	b a p u r u # ch i a	b a p u r u # k i a	bapuru kia
hadia doi da	h a d i a # d o i # d a	h a d i a # d o i # d a	hadia doi da
aha nia gowarna	a h a # n i a # g o w a r n a	a h a # n i a # j o w a r n a	aha nia jowarna
eia heniène	ei a # h e n i è n e	e:i a # h e n i E n e	e:ia heniEne
mamorotaigo	m a m o r o t ai g o	m a m o r o t a:i j o	mamorota:ijo
hian	h i a n	h i a n	hian
apari echia	a p a r i # e ch i a	a p a r i # e k i a	apari ekia
ebúa dodo	e b ú a # d o d o	e b u a # d o d o	ebua dodo
hassian	h a s s i a n	h a s s i a n	hassian
pachinunái	p a ch i n u n á i	p a k i n u n a i	pakinunai
mowoli	m o w o l i	m o w o l i	mowoli
manuhor	m a n u h o r	m a n u h o r	manuhor
èoli	è o l i	E o l i	Eoli
faho	f a h o	f a h o	faho
pagò	p a g ò	p a j O	pajO
bacòia poco	b a c òi a # p o c o	b a k o:i a # p o k o	bako:ia poko
faihi	f ai h i	f a:i x i	fa:ixi
		⁇	⁇
pahorai	p a h o r ai	p a h o r a:i	pahora:i
mani²	m a n i ²	m a n i ²	mani²
si mata	s i # m a t a	s i # m a t a	si mata
lole²	l o l e ²	l o l e ²	lole²
amui	a m u i	a m u i	amui
ma begu	m a # b e g u	m a # b e j u	ma beju
chèoba mahò	ch è o b a # m a h ò	k E o b a # m a h O	kEoba mahO
sináli	s i n á l i	s i n a l i	sinali
riman	r i m a n	r i m a n	riman
holting *	h o l t i n g # *	h o l t i n j # *	holtinj *
bahoio	b a h o i o	b a h o i o	bahoio
undro nidano	u n d r o # n i d a n o	u n d r o # n i d a n o	undro nidano
sunge	s u n g e	s u n j e	sunje
aec	ae c	a:e k	a:ek
ebò chèoba elà eodia	e b ò # ch è o b a # e l à # e o d i a	e b O # k E o b a # e l a # e o d i a	ebO kEoba ela eodia
		⁇	⁇
aha ma on	a h a # m a # o n	a h a # m a # o n	aha ma on
eiah enione	ei a h # e n i o n e	e:i a h # e n i o n e	e:iah enione
		⁇	⁇
hae hae	h ae # h ae	h a:e # h a:e	ha:e ha:e
eapalà	e a p a l à	e a p a l a	eapala
mano	m a n o	m a n o	mano
boti	b o t i	b o t i	boti
enoaha	e n o a h a	e n o a h a	enoaha
binu	b i n u	b i n u	binu
wole²	w o l e ²	w o l e ²	wole²
		⁇	⁇
eae euluca	e ae # e u l u c a	e a:e # e u l u k a	ea:e euluka
sataha	s a t a h a	s a t a h a	sataha
sowada masac	s o w a d a # m a s a c	s o w a d a # m a s a k	sowada masak
chibaca	ch i b a c a	k i b a k a	kibaka
fondrino	f o n d r i n o	f o n d r i n o	fondrino
marmasah	m a r m a s a h	m a r m a s a h	marmasah
manaco	m a n a c o	m a n a k o	manako
dodo	d o d o	d o d o	dodo
ati	a t i	a t i	ati
echitèi	e ch i t è i	e k i t E i	ekitEi
mameé	m a m e é	m a m e e	mamee
mangaleion	m a n g a l ei o n	m a n j a l e:i o n	manjale:ion
peionia	p ei o n i a	p e:i o n i a	pe:ionia
ifo	i f o	i f o	ifo
ningi	n i n gi	n i n c	ninc
eauca	e au c a	e a:u k a	ea:uka
si bacha	s i # b a c h a	s i # b a k h a	si bakha
bagas	b a g a s	b a j a s	bajas
di poco	d i # p o c o	d i # p o k o	di poko
furi	f u r i	f u r i	furi
pudi	p u d i	p u d i	pudi
cahapò	c a h a p ò	k a h a p O	kahapO
sameèli	s a m e è l i	s a m e E l i	sameEli
