originals	toba_batak_TOKEN	toba_batak_TRANSLITERATED	toba_batak_COMMON
		⁇	⁇
saiáng	s ai á n g	s a:i a n j	sa:ianj
bòru²	b ò r u ²	b O r u ²	bOru²
lan	l a n	l a n	lan
manáec	m a n á e c	m a n a e k	manaek
dòloc	d ò l o c	d O l o k	dOlok
dòloc	d ò l o c	d O l o k	dOlok
maccarát	m a cc a r á t	m a k a r a t	makarat
mate	m a t e	m a t e	mate
mamis	m a m i s	m a m i s	mamis
ngungu	n g u n g u	n j u n j u	njunju
manginlubu	m a n gi n l u b u	m a n c n l u b u	mancnlubu
igung	i g u n g	i j u n j	ijunj
		⁇	⁇
parau	p a r au	p a r a:u	para:u
parau	p a r au	p a r a:u	para:u
musú	m u s ú	m u s u	musu
birɔng	b i r ɔ n g	b i r ɔ n j	birɔnj
indaong	i n d ao n g	i n d a:o n j	inda:onj
hita	h i t a	h i t a	hita
hami	h a m i	h a m i	hami
goarna	g o a r n a	j o a r n a	joarna
las sowada	l a s # s o w a d a	l a s # s o w a d a	las sowada
		⁇	⁇
		⁇	⁇
borngin	b o r n gi n	b o r n c n	borncn
parsangulán	p a r s a n g u l á n	p a r s a n j u l a n	parsanjulan
marlange	m a r l a n g e	m a r l a n j e	marlanje
indahán	i n d a h á n	i n d a h a n	indahan
		⁇	⁇
mangolòi	m a n g o l òi	m a n j o l o:i	manjolo:i
mata	m a t a	m a t a	mata
ganan	g a n a n	j a n a n	janan
mahihi	m a h i h i	m a h i x i	mahixi
naon	n ao n	n a:o n	na:on
		⁇	⁇
		⁇	⁇
alai	a l ai	a l a:i	ala:i
ombas	o m b a s	o m b a s	ombas
suping	s u p i n g	s u p i n j	supinj
na malumáng	n a # m a l u m á n g	n a # m a l u m a n j	na malumanj
mesèng	m e s è n g	m e s E n j	mesEnj
palonác	p a l o n á c	p a l o n a k	palonak
si bong	s i # b o n g	s i # b o n j	si bonj
		⁇	⁇
		⁇	⁇
		⁇	⁇
ama	a m a	a m a	ama
		⁇	⁇
rawáng	r a w á n g	r a w a n j	rawanj
na gódang	n a # g ó d a n g	n a # j o d a n j	na jodanj
mahatai	m a h a t ai	m a h a t a:i	mahata:i
maranác	m a r a n á c	m a r a n a k	maranak
maranác	m a r a n á c	m a r a n a k	maranak
suhát	s u h á t	s u h a t	suhat
mabijár	m a b i j á r	m a b i j a r	mabijar
bijár	b i j á r	b i j a r	bijar
noc	n o c	n o k	nok
na lalaen	n a # l a l ae n	n a # l a l a:e n	na lala:en
huling²	h u l i n g ²	h u l i n j ²	hulinj²
buc²	b u c ²	b u k ²	buk²
lada	l a d a	l a d a	lada
mago	m a g o	m a j o	majo
doc²	d o c ²	d o k ²	dok²
decchè	d e c ch è	d e k k E	dekkE
limot	l i m o t	l i m o t	limot
manduda	m a n d u d a	m a n d u d a	manduda
balbal	b a l b a l	b a l b a l	balbal
balbal	b a l b a l	b a l b a l	balbal
manuri	m a n u r i	m a n u r i	manuri
susu	s u s u	s u s u	susu
susu	s u s u	s u s u	susu
		⁇	⁇
singgòh	s i n g g ò h	s i n j j O h	sinjjOh
manuwán	m a n u w á n	m a n u w a n	manuwan
pínar tatuan	p í n a r # t a t u a n	p i n a r # t a t u a n	pinar tatuan
sapa	s a p a	s a p a	sapa
mèt²	m è t ²	m E t ²	mEt²
pat	p a t	p a t	pat
pat	p a t	p a t	pat
goc	g o c	j o k	jok
batú	b a t ú	b a t u	batu
pungà	p u n g à	p u n j a	punja
udang	u d a n g	u d a n j	udanj
sogot	s o g o t	s o j o t	sojot
gialo²	gi a l o ²	c a l o ²	calo²
sunút	s u n ú t	s u n u t	sunut
ina ni tangán	i n a # n i # t a n g á n	i n a # n i # t a n j a n	ina ni tanjan
		⁇	⁇
gabur	g a b u r	j a b u r	jabur
		⁇	⁇
		⁇	⁇
babi	b a b i	b a b i	babi
pitu	p i t u	p i t u	pitu
noroc	n o r o c	n o r o k	norok
malo	m a l o	m a l o	malo
pógos	p ó g o s	p o j o s	pojos
buwát	b u w á t	b u w a t	buwat
mambuwát	m a m b u w á t	m a m b u w a t	mambuwat
mordobóm	m o r d o b ó m	m o r d o b o m	mordobom
na sa ingán	n a # s a # i n g á n	n a # s a # i n j a n	na sa injan
		⁇	⁇
udgiung	u d gi u n g	u d c u n j	udcunj
gandging	g a n d gi n g	j a n d c n j	jandcnj
bau	b au	b a:u	ba:u
andigan	a n d i g a n	a n d i j a n	andijan
sa diia	s a # d i i a	s a # d i i a	sa diia
siiol	s i i o l	s i i o l	siiol
an	a n	a n	an
i	i	i	i
on	o n	o n	on
		⁇	⁇
urat	u r a t	u r a t	urat
tambaga	t a m b a g a	t a m b a j a	tambaja
dacca	d a cc a	d a k a	daka
milas	m i l a s	m i l a s	milas
rac²	r a c ²	r a k ²	rak²
pungu	p u n g u	p u n j u	punju
marluga	m a r l u g a	m a r l u j a	marluja
numosa	n u m o s a	n u m o s a	numosa
durung	d u r u n g	d u r u n j	durunj
canto	c a n t o	k a n t o	kanto
		⁇	⁇
mortata	m o r t a t a	m o r t a t a	mortata
mortata	m o r t a t a	m o r t a t a	mortata
mangohi	m a n g o h i	m a n j o h i	manjohi
mangohi	m a n g o h i	m a n j o h i	manjohi
manittitson	m a n i t t i t s o n	m a n i t t i t s o n	manittitson
pahu²	p a h u ²	p a h u ²	pahu²
		⁇	⁇
mulah	m u l a h	m u l a h	mulah
mandapót	m a n d a p ó t	m a n d a p o t	mandapot
