originals	nias_TOKEN	nias_TRANSLITERATED	nias_COMMON
gari mbanúa	g a r i # m b a n ú a	j a r i # m b a n u a	jari mbanua
toho	t o h o	t o h o	toho
ebólo	e b ó l o	e b o l o	ebolo
idano meme	i d a n o # m e m e	i d a n o # m e m e	idano meme
halowo	h a l o w o	h a l o w o	halowo
caòcha	c aò c h a	k a:O k h a	ka:Okha
eu	e u	e u	eu
ahoho	a h o h o	a h o h o	ahoho
lèla	l è l a	l E l a	lEla
lèla	l è l a	l E l a	lEla
arou	a r ou	a r o:u	aro:u
ra	r a	r a	ra
		⁇	⁇
bawa	b a w a	b a w a	bawa
enau	e n au	e n a:u	ena:u
ba	b a	b a	ba
si ta uno	s i # t a # u n o	s i # t a # u n o	si ta uno
ina	i n a	i n a	ina
angáo	a n g á o	a n j a o	anjao
mafocho	m a f o c h o	m a f o k h o	mafokho
mamantenge	m a m a n t e n g e	m a m a n t e n j e	mamantenje
manga	m a n g a	m a n j a	manja
manga	m a n g a	m a n j a	manja
		⁇	⁇
tanga	t a n g a	t a n j a	tanja
asi	a s i	a s i	asi
fangowalu	f a n g o w a l u	f a n j o w a l u	fanjowalu
ina matúa	i n a # m a t ú a	i n a # m a t u a	ina matua
maemolu	m ae m o l u	m a:e m o l u	ma:emolu
asoso	a s o s o	a s o s o	asoso
dálu²	d á l u ²	d a l u ²	dalu²
turu lawa	t u r u # l a w a	t u r u # l a w a	turu lawa
		⁇	⁇
ambo	a m b o	a m b o	ambo
falimo	f a l i m o	f a l i m o	falimo
tai	t ai	t a:i	ta:i
tai	t ai	t a:i	ta:i
tai	t ai	t a:i	ta:i
matónga	m a t ó n g a	m a t o n j a	matonja
turu si achi	t u r u # s i # a ch i	t u r u # s i # a k i	turu si aki
		⁇	⁇
lafeláu	l a f e l á u	l a f e l a u	lafelau
gu	g u	j u	ju
fa aharo dodo	f a # a h a r o # d o d o	f a # a h a r o # d o d o	fa aharo dodo
alave	a l a v e	a l a v e	alave
oia	o i a	o i a	oia
manoi	m a n o i	m a n o i	manoi
hili	h i l i	h i l i	hili
bawo	b a w o	b a w o	bawo
fausu	f au s u	f a:u s u	fa:usu
mate	m a t e	m a t e	mate
mate	m a t e	m a t e	mate
si lo hede hede	s i # l o # h e d e # h e d e	s i # l o # h e d e # h e d e	si lo hede hede
tumbu	t u m b u	t u m b u	tumbu
ichu	i c h u	i k h u	ikhu
abólo nòwo	a b ó l o # n ò w o	a b o l o # n O w o	abolo nOwo
owo	o w o	o w o	owo
owo	o w o	o w o	owo
emáli	e m á l i	e m a l i	emali
saito	s ai t o	s a:i t o	sa:ito
lo	l o	l o	lo
iaita	i ai t a	i a:i t a	ia:ita
iaita	i ai t a	i a:i t a	ia:ita
toi	t o i	t o i	toi
lo na	l o # n a	l o # n a	lo na
ma	m a	m a	ma
da	d a	d a	da
lo monucha	l o # m o n u c h a	l o # m o n u k h a	lo monukha
		⁇	⁇
molangi	m o l a n gi	m o l a n c	molanc
balazo	b a l a z o	b a l a z o	balazo
lavuo	l a v u o	l a v u o	lavuo
como	c o m o	k o m o	komo
