originals	ENO_TOKEN	ENO_TRANSLITERATED	ENO_COMMON
iadòho (?)	i a d ò h o # ( ? )	i a d O h o # ( ? )	iadOho (?)
caúa	c aú a	k a:u a	ka:ua
capacahale	c a p a c a h a l e	k a p a k a h a l e	kapakahale
mehecu	m e h e c u	m e h e k u	meheku
		⁇	⁇
iapé	i a p é	i a p e	iape
epacamai	e p a c a m ai	e p a k a m a:i	epakama:i
epacamai mòco ecai	e p a c a m ai # m ò c o # e c ai	e p a k a m a:i # m O k o # e k a:i	epakama:i mOko eka:i
carahu	c a r a h u	k a r a h u	karahu
ara	a r a	a r a	ara
epòi	e p òi	e p o:i	epo:i
caachihi èue	c a a ch i h i # è u e	k a a k i x i # E u e	kaakixi Eue
cacahoda èue	c a c a h o d a # è u e	k a k a h o d a # E u e	kakahoda Eue
eca belowa	e c a # b e l o w a	e k a # b e l o w a	eka belowa
epò	e p ò	e p O	epO
iacuè	i a c u è	i a k u E	iakuE
uachíua	u a ch í u a	u a k i u a	uakiua
uachíua	u a ch í u a	u a k i u a	uakiua
eeò	e e ò	e e O	eeO
eeò	e e ò	e e O	eeO
eaha	e a h a	e a h a	eaha
eaha	e a h a	e a h a	eaha
eaha	e a h a	e a h a	eaha
		⁇	⁇
eòho	e ò h o	e O h o	eOho
ecu	e c u	e k u	eku
hua	h u a	h u a	hua
meno timbaho	m e n o # t i m b a h o	m e n o # t i m b a h o	meno timbaho
		⁇	⁇
eòbi	e ò b i	e O b i	eObi
chedòbu	ch e d ò b u	k e d O b u	kedObu
epio pio	e p i o # p i o	e p i o # p i o	epio pio
ebèo	e b è o	e b E o	ebEo
eáo	e á o	e a o	eao
agnia	a gn i a	a ñ i a	añia
abóha	a b ó h a	a b o h a	aboha
abóha	a b ó h a	a b o h a	aboha
epòo	e p ò o	e p O o	epOo
epu	e p u	e p u	epu
cahapò	c a h a p ò	k a h a p O	kahapO
eaha	e a h a	e a h a	eaha
itòpo	i t ò p o	i t O p o	itOpo
bahitò	b a h i t ò	b a h i t O	bahitO
epú ápo	e p ú # á p o	e p u # a p o	epu apo
papa	p a p a	p a p a	papa
epapa	e p a p a	e p a p a	epapa
amuho	a m u h o	a m u h o	amuho
caparí papuru	c a p a r í # p a p u r u	k a p a r i # p a p u r u	kapari papuru
baheba	b a h e b a	b a h e b a	baheba
